VITALIS INTERNATIONAL SCHOOL,,,,,,,,,,,,,
TIME TABLE 2025-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,
CLASS:,NUR,CLASS TIME TABLE ,,,,,,,,CT:,SUVARCHALA DEVI_SD,,
PERIODS,ASSM,0,1,2,BREAK,3,4,5,,6,7,8,
TIMIMGS,8.30-8.40,8.40-9.10,9.10-9.50,9.50-10.30,10.30-10.40,10.40-11.20,11.20-12.00,12.00-12.40,12.40-1.20,1.20-2.00,2.00-2.40,2.40-3.20,3.20-3.30
MONDAY,ASSEMBLY,CircleT,CircleT,Eng-Prac,BREAK,Eng-CW,EVS,EVS,,,,,
TUESDAY,,CircleT,CircleT,Math-prac,,Games,EVS,EVS,,,,,
WEDNESDAY,,Assembly,Assembly,Music,,Eng-Prac,Eng-CW,Math-Prac,,,,,
THURSDAY,,CircleT,CircleT,Games,,Math-Prac,Math-CW,EVS,,,,,
FRIDAY,,CircleT,CircleT,Eng-Prac,,Eng-CW,EVS,EVS/Pool,,,,,
SATURDAY,,,,,,,,,,,,,
,,,,,,,,,,,,,
VITALIS INTERNATIONAL SCHOOL,,,,,,,,,,,,,
TIME TABLE 2025-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,
CLASS:,PP1,CLASS TIME TABLE ,,,,,,,,CT:,PILLA LALIMA_PL,,
PERIODS,ASSM,0,1,2,BR,3,4,5,LUN,6,7,8,DIARY P
TIMIMGS,8.30-8.40,8.40-9.10,9.10-9.50,9.50-10.30,10.30-10.40,10.40-11.20,11.20-12.00,12.00-12.40,12.40-1.20,1.20-2.00,2.00-2.40,2.40-3.20,3.20-3.30
MONDAY,ASSEMBLY,CircleT,CircleT,Games,BREAK,Eng-Prac,Eng-CW,EVS-Prac,LUNCH,NAP TIME/ ACTIVITIES,A&C,Dance,DIARY PERIOD
TUESDAY,,CircleT,CircleT,Math-Prac,,Math-CW,EVS-Act,EVS-CW,,,Eng-Act,Con/Rhym,
WEDNESDAY,,Assembly,Assembly,Music,,Eng-Prac,Eng-CW,EVS-CW,,,Games,Math-Act,
THURSDAY,,CircleT,CircleT,Math-Prac,,Math-CW,Eng-CW,EVS-Prac,,,A&C,Con/Rhym,
FRIDAY,,CircleT,CircleT,Eng-Prac,,Eng-CW,EVS-Act,EVS-CW/Pool,,,Math-Act,Math-CW,
SATURDAY,,,,,,,,,,,,,
,,,,,,,,,,,,,
VITALIS INTERNATIONAL SCHOOL,,,,,,,,,,,,,
TIME TABLE 2025-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,
CLASS:,PP2,CLASS TIME TABLE ,,,,,,,,CT:,ANURADHA DUTTA_AD,,
PERIODS,ASSM,0,1,2,BR,3,4,5,LUN,6,7,8,DIARY P
TIMIMGS,8.30-8.40,8.40-9.10,9.10-9.50,9.50-10.30,10.30-10.40,10.40-11.20,11.20-12.00,12.00-12.40,12.40-1.20,1.20-2.00,2.00-2.40,2.40-3.20,3.20-3.30
MONDAY,ASSEMBLY,CircleT,CircleT,Eng-Prac,BREAK,Eng-CW,Games,Math-Prac,LUNCH,Math-CW,EVS,Dance,DIARY PERIOD
TUESDAY,,CircleT,CircleT,EVS,,A&C,Math-Prac,Math-CW,,Eng-Prac,Eng-CW,Revision,
WEDNESDAY,,Assembly,Assembly,Music,,Eng-Prac,Eng-CW,EVS,,2nd Lang,A&C,Revision,
THURSDAY,,CircleT,CircleT,Math-Prac,,Math-CW,Games,Eng-Prac,,Eng-CW,EVS,Revision,
FRIDAY,,CircleT,CircleT,Karate,,Eng-Prac,Eng-CW,EVS/Pool,,2nd Lang,Math-Prac,Math-CW,
SATURDAY,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
VITALIS INTERNATIONAL SCHOOL,,,,,,,,,,,,,
TIME TABLE 2025-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,
CLASS:,I,CLASS TIME TABLE ,,,,,,,,CT:,MARY BINDISREE_BS,,
PERIODS,ASSM,0,1,2,BR,3,4,5,LUN,6,7,8,DIARY P
TIMIMGS,8.30-8.40,8.40-9.10,9.10-9.50,9.50-10.30,10.30-10.40,10.40-11.20,11.20-12.00,12.00-12.40,12.40-1.20,1.20-2.00,2.00-2.40,2.40-3.20,3.20-3.30
MONDAY,ASSEMBLY,CircleT,CircleT,Dance,BREAK,Eng-Prac,Eng-CW,EVS-Act,LUNCH,2nd Lang,Comp,EVS-CW,DIARY PERIOD
TUESDAY,,Math-Prac,Math-CW,Comp,,EVS-Prac,Games,EVS-CW,,2nd Lang,Eng-Act,Eng-CW,
WEDNESDAY,,Assembly,Assembly,Eng-Prac,,Music,Math-Act,LIB,,3rd Lang,EVS-Act,EVS-CW,
THURSDAY,,CircleT,CircleT,Math-Prac,,Eng-Prac,Eng-CW,A&C,,2nd Lang,Games,EVS-CW,
FRIDAY,,CircleT,CircleT,Karate,,Math-Prac,Math-Act,EVS-Act,,3rd Land,EVS/Pool Time,,
SATURDAY,,Assembly,Assembly,Math-Prac,,A&C,Eng-CW,EVS-Act,,ACTIVITIES,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
VITALIS INTERNATIONAL SCHOOL,,,,,,,,,,,,,
TIME TABLE 2025-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,
CLASS:,II,CLASS TIME TABLE ,,,,,,,,CT:,DIVYAVANI_DV,,
PERIODS,ASSM,0,1,2,BR,3,4,5,LUN,6,7,8,DIARY P
TIMIMGS,8.30-8.40,8.40-9.10,9.10-9.50,9.50-10.30,10.30-10.40,10.40-11.20,11.20-12.00,12.00-12.40,12.40-1.20,1.20-2.00,2.00-2.40,2.40-3.20,3.20-3.30
MONDAY,ASSEMBLY,CircleT,CircleT,Dance,BREAK,Eng-Act,Eng-CW,LIB,LUNCH,Math-Act,EVS-Act,EVS-CW,DIARY PERIOD
TUESDAY,,Math-Prac,Math-CW,EVS-Act,,EVS-CW,Eng-Prac,A&C,,Eng-Act,Comp,2nd Lang,
WEDNESDAY,,Assembly,Assembly,Math-Act,,Math-CW,Music,Games,,EVS-CW,3rd Lang,2nd Lang,
THURSDAY,,CircleT,CircleT,Eng-CW,,Math-Act,Math-Cw,Games,,EVS-CW,3rd Lang,2nd Lang,
FRIDAY,,CircleT,CircleT,Karate,,Math-Act,Math-CW,Eng-Act,,Eng-CW,EVS/ Pool Time,,
SATURDAY,,Assembly,Assembly,Math-CW,,Eng-Act,Eng-CW,Comp,,ACTIVITIES,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
VITALIS INTERNATIONAL SCHOOL,,,,,,,,,,,,,
TIME TABLE 2025-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,
CLASS:,III,CLASS TIME TABLE ,,,,,,,,CT:,ESTHER RANI_ER,,
PERIODS,ASSM,0,1,2,BR,3,4,5,LUN,6,7,8,DIARY P
TIMIMGS,8.30-8.40,8.40-9.10,9.10-9.50,9.50-10.30,10.30-10.40,10.40-11.20,11.20-12.00,12.00-12.40,12.40-1.20,1.20-2.00,2.00-2.40,2.40-3.20,3.20-3.30
MONDAY,ASSEMBLY,Conv,SSt,Sci,BREAK,Dance,MS,Eng,LUNCH,Maths,Hind/Tel,Tel,DIARY PERIOD
TUESDAY,,Read/Writ,Eng,Eng,,Hind/Tel,Sci,SSt,,Sci,Math,Comp,
WEDNESDAY,,Assembly,SSt,Hind/Tel,,Sci,A&C,Music,,Eng,Maths,Maths,
THURSDAY,,Conv,SSt,Sci,,LIB,Hind/Tel,Eng,,Maths,Comp,Games,
FRIDAY,,Conv,Karate,Eng,,HH,Comp,Hind/Tel,,Sci,SSt,Maths,
SATURDAY,,Assembly,SSt,Eng,,Hind/Tel,Sci,Maths,,ACTIVITIES,,,
,,,,,,,,,,,,,
VITALIS INTERNATIONAL SCHOOL,,,,,,,,,,,,,
TIME TABLE 2025-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,
CLASS:,IV,CLASS TIME TABLE ,,,,,,,,CT:,M PARVATHI_MP,,
PERIODS,ASSM,0,1,2,BR,3,4,5,LUN,6,7,8,DIARY P
TIMIMGS,8.30-8.40,8.40-9.10,9.10-9.50,9.50-10.30,10.30-10.40,10.40-11.20,11.20-12.00,12.00-12.40,12.40-1.20,1.20-2.00,2.00-2.40,2.40-3.20,3.20-3.30
MONDAY,ASSEMBLY,Conv,Hind/Tel,SSt,BREAK,Dance,Maths,MS,LUNCH,Sci,Eng,Comp,DIARY PERIOD
TUESDAY,,Read/Writ,Science,Sci,,Comp,LIB,Eng,,Maths,Hind/Tel,SSt,
WEDNESDAY,,Assembly,Hind/Tel,Maths,,Eng,SSt,Music,,Hindi,Sci,Eng,
THURSDAY,,Conv,Hind/Tel,Comp,,Games,A&C,Sci,,SSt,Eng,Maths,
FRIDAY,,Conv,Karate,SSt,,HH,Eng,Maths,,Maths,Hind/Tel,Sci,
SATURDAY,,Assembly,Hind/Tel,SSt,,Eng,Maths,Sci,,ACTIVITIES,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
VITALIS INTERNATIONAL SCHOOL,,,,,,,,,,,,,
TIME TABLE 2025-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,
CLASS:,V,CLASS TIME TABLE ,,,,,,,,CT:,MURARILAL_ML,,
PERIODS,ASSM,0,1,2,BR,3,4,5,LUN,6,7,8,DIARY P
TIMIMGS,8.30-8.40,8.40-9.10,9.10-9.50,9.50-10.30,10.30-10.40,10.40-11.20,11.20-12.00,12.00-12.40,12.40-1.20,1.20-2.00,2.00-2.40,2.40-3.20,3.20-3.30
MONDAY,ASSEMBLY,Conv,Maths,Hind/Tel,BREAK,Eng,Eng,Dance,LUNCH,a&C,Sci,SSt,DIARY PERIOD
TUESDAY,,Read/Writ,Maths,MS,,SSt,Maths,Games,,Eng,Sci,Hind/Tel,
WEDNESDAY,,Assembly,Sci,Comp,,Maths,Hind/Tel,Eng,,Music,SSt,Sci,
THURSDAY,,Conv,Sci,LIB,,Comp,Maths,Hind/Tel,,Eng,Maths,SSt,
FRIDAY,,Conv,Karate,Maths,,HH,SSt,Comp,,Hind/Tel,Sci,Eng,
SATURDAY,,Asembly,Sci,Hind/Tel,,Maths,SSt,Eng,,ACTIVITIES,,,
,,,,,,,,,,,,,
VITALIS INTERNATIONAL SCHOOL,,,,,,,,,,,,,
TIME TABLE 2025-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,
CLASS:,VI,CLASS TIME TABLE ,,,,,,,,CT:,JEEVANA JYOTHI_JJ,,
PERIODS,ASSM,0,1,2,BR,3,4,5,LUN,6,7,8,DIARY P
TIMIMGS,8.30-8.40,8.40-9.10,9.10-9.50,9.50-10.30,10.30-10.40,10.40-11.20,11.20-12.00,12.00-12.40,12.40-1.20,1.20-2.00,2.00-2.40,2.40-3.20,3.20-3.30
MONDAY,ASSEMBLY,Conv,Eng,Maths,BREAK,Sci,Dance,Hind/Tel,LUNCH,Comp,SSt,Maths,DIARY PERIOD
TUESDAY,,Read/Writ,Hindi/Tel,Games,,Maths,Hind/Tel,Sci,,SSt,A&C,Eng,
WEDNESDAY,,Assembly,Eng,Sci,,Hind/Tel,Eng,Comp,,Maths,Music,SSt,
THURSDAY,,Conv,Eng,Maths,,Sci,SSt,GK,,Sci,Hind/Tel,Comp,
FRIDAY,,Conv,Karate,LIB,,HH,Maths,Sci,,SSt,Eng,Hind/Tel,
SATURDAY,,Assembly,Eng,Maths,,Sci,Hind/Tel,SSt,,ACTIVITIES,,,
,,,,,,,,,,,,,
VITALIS INTERNATIONAL SCHOOL,,,,,,,,,,,,,
TIME TABLE 2025-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,
CLASS:,VII,CLASS TIME TABLE ,,,,,,,,CT:,VAMSE DEVATHOTI_VD,,
PERIODS,ASSM,0,1,2,BR,3,4,5,LUN,6,7,8,DIARY P
TIMIMGS,8.30-8.40,8.40-9.10,9.10-9.50,9.50-10.30,10.30-10.40,10.40-11.20,11.20-12.00,12.00-12.40,12.40-1.20,1.20-2.00,2.00-2.40,2.40-3.20,3.20-3.30
MONDAY,ASSEMBLY,Conv,Sci,Eng,BREAK,Hindi,Dance,SSt,LUNCH,Tel,Maths,Sci,DIARY PERIOD
TUESDAY,,Read/Writ,SSt,SSt,,Sci,A&C,Hindi,,Comp,Eng,Maths,
WEDNESDAY,,Assembly,Maths,Eng,,Games,Maths,Sci,,SSt,Music,Tel,
THURSDAY,,Conv,Maths,SSt,,Hindi,Eng,LIB,,Comp,Sci,Tel,
FRIDAY,,Conv,Karate,Sci,,HH,GK,SSt,,Eng,Maths,Comp,
SATURDAY,,Assembly,Maths,Sci,,SSt,Eng,Hindi,,ACTIVITIES,,,